NumeroArchivio,ImmagineRecto (guess),ImmagineVerso (guess),Compound/ambiguous?
1930 p302,1930 p302.jpg,1930 p302 verso.jpg,
1930 p152,1930 p152.jpg,1930 p152 verso.jpg,
1930 p273,1930 p273.jpg,1930 p273 verso.jpg,
1930 p258,1930 p258.jpg,1930 p258 verso.jpg,
1930 p257,1930 p257.jpg,1930 p257 verso.jpg,
1930 p260,1930 p260.jpg,1930 p260 verso.jpg,
1930 p310,1930 p310.jpg,1930 p310 verso.jpg,
1930 p132,1930 p132.jpg,1930 p132 verso.jpg,
1930 p270,1930 p270.jpg,1930 p270 verso.jpg,
1930 p106,1930 p106.jpg,1930 p106 verso.jpg,
1930 p115,1930 p115.jpg,1930 p115 verso.jpg,
1930 p119,1930 p119.jpg,1930 p119 verso.jpg,
Anni Trenta pc438,Anni Trenta pc438.jpg,Anni Trenta pc438 verso.jpg,
1931 p319,1931 p319.jpg,1931 p319 verso.jpg,
1931,1931.jpg,1931 verso.jpg,
1931 p271,1931 p271.jpg,1931 p271 verso.jpg,
1931 p299,1931 p299.jpg,1931 p299 verso.jpg,
1932 p301,1932 p301.jpg,1932 p301 verso.jpg,
1932 p113,1932 p113.jpg,1932 p113 verso.jpg,
1932 s0,1932 s0.jpg,1932 s0 verso.jpg,
1932 s0/a,1932 s0_a.jpg,1932 s0_a verso.jpg,
1932 p275,1932 p275.jpg,1932 p275 verso.jpg,
1934 pc386,1934 pc386.jpg,1934 pc386 verso.jpg,
1934 p266,1934 p266.jpg,1934 p266 verso.jpg,
1934 p464,1934 p464.jpg,1934 p464 verso.jpg,
1934 p309,1934 p309.jpg,1934 p309 verso.jpg,
1934 pCT,1934 pCT.jpg,1934 pCT verso.jpg,
1934 p108,1934 p108.jpg,1934 p108 verso.jpg,
1934 p121,1934 p121.jpg,1934 p121 verso.jpg,
1934,1934.jpg,1934 verso.jpg,
1934 p320,1934 p320.jpg,1934 p320 verso.jpg,
p60/G,p60_G.jpg,p60_G verso.jpg,
1934 p102,1934 p102.jpg,1934 p102 verso.jpg,
1934 p378,1934 p378.jpg,1934 p378 verso.jpg,
p364,p364.jpg,p364 verso.jpg,
p357,p357.jpg,p357 verso.jpg,
